Comparison	p53Target	Ensg	GeneID	p53	TargetRegion	InteractionBait	InteractionOtherEnd	InteractionDynamism	EnrichedInGeneSet	p53EnsgGenomicDistance	H3K27acLog2FCp53	H3K27acLog2FCensg	H3K27acLog2FCenhancer	ExprLog2FCensg
Nut1h.vs.Nut0h	enhancer	ENSG00000188895	MSL1	17:38177685-38177907	17:38176922-38180639	17:38167988-38184023	17:38268855-38280299	gained		100355	0.5224449	0.9436681	0.696270641428571	-0.362642536088476
Nut1h.vs.Nut0h	enhancer	ENSG00000188895	MSL1	17:38177685-38177907	17:38176922-38180639	17:38167988-38184023	17:38281234-38312146	gained		100355	0.5224449	0.9436681	0.696270641428571	-0.362642536088476
Nut1h.vs.Nut0h	enhancer	ENSG00000174579	MSL2	3:135861065-135861287	3:135860206-135862785	3:135913712-135916257	3:135860979-135861997	maintained	MIR338_3P,NPM1_TARGET_GENES	55307	2.3802716194146	0.191322783742312	1.9024245065446	0.227520542688604
Nut1h.vs.Nut0h	enhancer	ENSG00000099810	MTAP	9:21543354-21543576	9:21542225-21558394	9:21801459-21803557	9:21543024-21548417	maintained		258677	0.8525553	1.336815	0.660003013	0.915885630389898
Nut1h.vs.Nut0h	enhancer	ENSG00000099810	MTAP	9:21565316-21565538	9:21559900-21595141	9:21801459-21803557	9:21563778-21566644	maintained		236715	0.5943442	1.336815	0.86656065	0.915885630389898
Nut1h.vs.Nut0h	enhancer	ENSG00000109065	NAT9	17:72754716-72754938	17:72753182-72758256	17:72738651-72762155	17:72769612-72775423	maintained	chr17q25	18079	0.464545	0.415886766666667	0.542029557142857	-0.338168629282917
Nut1h.vs.Nut0h	enhancer	ENSG00000015676	NUDCD3	7:44583792-44584014	7:44583304-44584276	7:44528998-44530639	7:44578811-44585646	maintained		53024	1.43164731499994	0.466464409063824	2.02097830580418	-0.425606855896741
Nut1h.vs.Nut0h	enhancer	ENSG00000108559	NUP88	17:5335297-5335519	17:5333571-5335943	17:5320579-5329948	17:5331413-5337394	maintained		11528	0.83947205	0.4173725	0.158870939	0.0282838499004195
Nut1h.vs.Nut0h	enhancer	ENSG00000180304	OAZ2	15:64647178-64647400	15:64646176-64650526	15:64980655-64990622	15:64644543-64653291	gained		348591	1.00672396666667	1.14565905	0.369958225	-0.175255562603699
Nut1h.vs.Nut0h	enhancer	ENSG00000168092	PAFAH1B2	11:117045127-117045349	11:117043245-117046278	11:117014364-117016742	11:117044659-117045669	gained		30655	0.3821365	1.47173785	0.926159109090909	0.853268938434702
Nut1h.vs.Nut0h	enhancer	ENSG00000121274	PAPD5	16:50200870-50201092	16:50199917-50202059	16:50175457-50189165	16:50194697-50201355	maintained		14552	1.3976326	1.08617395	0.647845281818182	0.525758502400753
Nut1h.vs.Nut0h	enhancer	ENSG00000078674	PCM1	8:17577590-17577812	8:17577125-17578200	8:17776258-17782951	8:17573643-17579427	gained	NPM1_TARGET_GENES	202248	0.2686601	0.67879425	0.684030684444444	0.669037104792822
Nut1h.vs.Nut0h	enhancer	ENSG00000187583	PLEKHN1	1:1153315-1153537	1:1152862-1154543	1:903641-927394	1:1150970-1156235	maintained		251949	0.699515255958499	1.42203484789124	0.445828151621508	-1.21679701582622
Nut1h.vs.Nut0h	enhancer	ENSG00000145632	PLK2	5:56790601-56790823	5:56789702-56791882	5:57752380-57757252	5:56790591-56790917	maintained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,PSMB5_TARGET_GENES	965775	1.19294040950473	0.658897946018498	1.52490588956105	1.34318887625747
Nut1h.vs.Nut0h	enhancer	ENSG00000170836	PPM1D	17:58159699-58159921	17:58159156-58160985	17:58150676-58163742	17:58670963-58680134	gained		517334	0.4607887	0.993394566666667	1.34634360909091	0.408599958548962
Nut1h.vs.Nut0h	enhancer	ENSG00000213639	PPP1CB	2:28837028-28837250	2:28836616-28837527	2:28973341-28978474	2:28832511-28838878	maintained		136967	1.39979072197801	1.00143431632813	1.39979072197801	0.95374038250963
Nut1h.vs.Nut0h	enhancer	ENSG00000154845	PPP4R1	18:9933575-9933797	18:9930973-9934709	18:9612111-9619571	18:9931266-9938880	gained	MIR338_3P,NPM1_TARGET_GENES	318048	0.52328915	1.16393678333333	0.516409346923077	0.215559778256704
Nut1h.vs.Nut0h	enhancer	ENSG00000117450	PRDX1	1:46023267-46023489	1:46021707-46024335	1:45987157-45995504	1:46017075-46037872	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,PSMB5_TARGET_GENES	34259	0.246524463287093	0.705915047571367	0.551626738232374	0.314194860358423
Nut1h.vs.Nut0h	enhancer	ENSG00000236671	PRKG1-AS1	10:54203290-54203512	10:54194893-54216209	10:54071909-54076116	10:54199517-54207146	maintained	PSMB5_TARGET_GENES	129113	1.373057	1.286347	0.989243719032258	0.272883337960725
Nut1h.vs.Nut0h	enhancer	ENSG00000132329	RAMP1	2:239176060-239176282	2:239175479-239177062	2:238766345-238769802	2:239157880-239179981	gained		409035	0.636985803519183	0.445207407851664	1.00747953731172	-1.11634299429738
Nut1h.vs.Nut0h	enhancer	ENSG00000135945	REV1	2:100091835-100092057	2:100091186-100093053	2:100101247-100112316	2:100087955-100097744	gained		14951	1.19381126195902	0.941310938914445	0.822074688210514	0.436456270678428
Nut1h.vs.Nut0h	enhancer	ENSG00000137824	RMDN3	15:40958615-40958837	15:40957845-40958993	15:40956131-40991010	15:41046666-41048662	gained		89723	0.80182595	0.813823783333333	0.87517258	0.171904708142477
Nut1h.vs.Nut0h	enhancer	ENSG00000200225	RNA5SP382	14:20869313-20869535	14:20868117-20870450	14:20880222-20889907	14:20867019-20879433	gained		13322	1.486733	1.20538356666667	1.40344344545455	
Nut1h.vs.Nut0h	enhancer	ENSG00000251929	RNU6-189P	14:50417613-50417835	14:50416844-50418182	14:50364518-50374508	14:50414334-50420372	maintained		48656	1.569519	0.972392033333333	1.77356714285714	
Nut1h.vs.Nut0h	enhancer	ENSG00000252887	RNU6-430P	16:89396790-89397012	16:89378341-89406144	16:89506055-89512464	16:89396063-89402202	gained		112425	0.193043	0.3237248	0.246456086181818	
Nut1h.vs.Nut0h	enhancer	ENSG00000207003	RNU6-611P	19:45536227-45536449	19:45535959-45536810	19:45532271-45542963	19:45549196-45565961	gained		13978	1.2704525	-0.143125371428571	0.938881833333333	0.196437998368459
Nut1h.vs.Nut0h	enhancer	ENSG00000252893	RNU7-58P	11:59341027-59341249	11:59340931-59341564	11:59321996-59326432	11:59329301-59354414	gained		15265	0.533468	0.7749989	0.606490546	
Nut1h.vs.Nut0h	enhancer	ENSG00000264545	RP11-145E5.5	9:21543354-21543576	9:21542225-21558394	9:21801459-21803557	9:21543024-21548417	maintained		258770	0.8525553	1.336815	0.660003013	
Nut1h.vs.Nut0h	enhancer	ENSG00000264545	RP11-145E5.5	9:21565316-21565538	9:21559900-21595141	9:21801459-21803557	9:21563778-21566644	maintained		236808	0.5943442	1.336815	0.86656065	
Nut1h.vs.Nut0h	enhancer	ENSG00000266446	RP11-149I2.4	9:21833573-21833795	9:21826362-21838879	9:21991197-22008507	9:21826325-21836333	maintained		161397	-0.2954907	1.241326	-0.174185972195122	
Nut1h.vs.Nut0h	enhancer	ENSG00000230925	RP11-176F3.7	9:33876889-33877111	9:33875346-33877518	9:33862615-33880215	9:33906422-33911503	gained		34520	0.6362929	-1.08679735	0.925800698181818	
Nut1h.vs.Nut0h	enhancer	ENSG00000269926	RP11-442H21.2	10:74058012-74058234	10:74050271-74060964	10:74033250-74037220	10:74040419-74061391	gained		21985	0.8849664	0.1849449	0.678162070588235	
Nut1h.vs.Nut0h	enhancer	ENSG00000263627	RP11-692N5.1	18:9933575-9933797	18:9930973-9934709	18:9612111-9619571	18:9931266-9938880	gained	NPM1_TARGET_GENES	318824	0.52328915	1.3884055	0.516409346923077	
Nut1h.vs.Nut0h	enhancer	ENSG00000225952	RP11-69E9.1	1:23144014-23144236	1:23143535-23144800	1:23150255-23167762	1:23141973-23147783	maintained		19617	1.07492742443847	1.03377074370707	1.04650549417981	
Nut1h.vs.Nut0h	enhancer	ENSG00000247011	RP11-700H6.1	17:48864480-48864702	17:48864145-48864900	17:49013346-49025312	17:48861591-48865374	maintained		157883	1.119383	1.28082551666667	1.119383	
Nut1h.vs.Nut0h	enhancer	ENSG00000247011	RP11-700H6.1	17:49026942-49027164	17:49025086-49030290	17:49013346-49025312	17:49026568-49027171	maintained		4579	0.9206817	1.28082551666667	0.7236490434	
Nut1h.vs.Nut0h	enhancer	ENSG00000129197	RPAIN	17:5335297-5335519	17:5333571-5335943	17:5320579-5329948	17:5331413-5337394	maintained		12847	0.83947205	0.4391323	0.158870939	0.676226670049803
Nut1h.vs.Nut0h	enhancer	ENSG00000260031	RPL10P14	16:50200870-50201092	16:50199917-50202059	16:50175457-50189165	16:50194697-50201355	maintained		15093	1.3976326	1.08617395	0.647845281818182	
Nut1h.vs.Nut0h	enhancer	ENSG00000125744	RTN2	19:46135743-46135965	19:46132696-46137712	19:45981987-45998429	19:46101199-46142066	gained		135135	0.03495623	0.93116979	0.250368936666667	-1.30867085718032
Nut1h.vs.Nut0h	enhancer	ENSG00000160678	S100A1	1:153498686-153498908	1:153498108-153499797	1:153495077-153523136	1:153599452-153610732	gained	PSMB5_TARGET_GENES	101205	1.18400618047436	1.0604382022699	1.36349178329869	-0.168161597277724
Nut1h.vs.Nut0h	enhancer	ENSG00000114650	SCAP	3:47485661-47485883	3:47485079-47486322	3:47514073-47522114	3:47485115-47499430	gained		33244	0.574598027873762	-0.401311750280358	0.59520461524458	-1.30281101668824
Nut1h.vs.Nut0h	enhancer	ENSG00000198301	SDAD1	4:76917030-76917252	4:76917209-76917677	4:76911969-76912926	4:76915868-76928412	gained		4626	1.39066218096734	0.866253091970868	1.46154937678828	0.527959480836196
Nut1h.vs.Nut0h	enhancer	ENSG00000184640	SEPT9	17:75404064-75404286	17:75400173-75408809	17:75420227-75431898	17:75400914-75418792	gained	chr17q25	127924	0.5209193	0.9695293	0.0889617406774194	-0.886941458067316
Nut1h.vs.Nut0h	enhancer	ENSG00000115128	SF3B14	2:24307121-24307343	2:24305368-24308274	2:24295863-24302128	2:24303775-24318769	maintained		7519	0.582908506222065	1.01178318309043	0.788557861378274	0.712213507360344
Nut1h.vs.Nut0h	enhancer	ENSG00000156384	SFR1	10:105660094-105660316	10:105659886-105660801	10:105879858-105883772	10:105655156-105662521	maintained		221211	1.12827816666667	0.9104952	1.21101725714286	0.590132933606567
Nut1h.vs.Nut0h	enhancer	ENSG00000107819	SFXN3	10:102769404-102769626	10:102766230-102774128	10:102790674-102794582	10:102762773-102789176	gained		21076	-0.551049	1.07504295	0.0659350447826087	-0.847974467888931
Nut1h.vs.Nut0h	enhancer	ENSG00000182319	SGK223	8:8483359-8483581	8:8482629-8484720	8:8238661-8248628	8:8482037-8484790	maintained		239062	0.5481985	0.68530895	0.9680972	-1.73345351065424
Nut1h.vs.Nut0h	enhancer	ENSG00000169375	SIN3A	15:75959054-75959276	15:75957637-75963306	15:75740983-75749322	15:75938893-75968994	gained		210582	1.525815	0.9483836	1.42913700666667	0.372130155861374
Nut1h.vs.Nut0h	enhancer	ENSG00000144136	SLC20A1	2:113450219-113450441	2:113448129-113451605	2:113402487-113405754	2:113449093-113452250	maintained	PSMB5_TARGET_GENES,AP1FJ_Q2	47296	1.18904595328358	0.540793100969593	0.93447075190135	0.443401888336724
Nut1h.vs.Nut0h	enhancer	ENSG00000157593	SLC35B2	6:44276808-44277030	6:44276514-44277488	6:44224202-44234925	6:44275688-44277380	maintained		51228	0.967939877218811	1.32330580745591	0.640289410186588	-0.917071948776403
Nut1h.vs.Nut0h	enhancer	ENSG00000134955	SLC37A2	11:124816844-124817066	11:124816609-124817386	11:124815808-124824596	11:124930049-124936724	maintained		115608	0.9105879	0.964150016666667	0.9105879	-0.795431178496677
Nut1h.vs.Nut0h	enhancer	ENSG00000170365	SMAD1	4:146429009-146429231	4:146428485-146429667	4:146393592-146410901	4:146418607-146444479	gained		27174	1.29301800620774	1.61656156205311	2.01959193865802	-0.129648997465043
Nut1h.vs.Nut0h	enhancer	ENSG00000252526	SNORA70	16:50200870-50201092	16:50199917-50202059	16:50175457-50189165	16:50194697-50201355	maintained		14939	1.3976326	1.08617395	0.647845281818182	
Nut1h.vs.Nut0h	enhancer	ENSG00000184361	SPATA32	17:43361558-43361780	17:43354795-43362454	17:43333301-43342451	17:43343465-43361651	maintained		21790	0.342355	0.398660645	0.332006719843137	1.00008401253824
Nut1h.vs.Nut0h	enhancer	ENSG00000128039	SRD5A3	4:56263934-56264156	4:56263093-56265104	4:56211365-56214914	4:56260662-56265138	maintained		52169	0.345563258046385	1.22025591954726	0.349394923780237	-0.604918214066063
Nut1h.vs.Nut0h	enhancer	ENSG00000136450	SRSF1	17:55945468-55945690	17:55944301-55946747	17:56082998-56088042	17:55937307-55947965	maintained		139528	1.028024	1.83309106	0.993143836363636	0.416166673422404
Nut1h.vs.Nut0h	enhancer	ENSG00000124356	STAMBP	2:74415427-74415649	2:74414799-74415967	2:74055227-74060673	2:74409231-74418962	gained		359852	1.13287243185762	-0.0913103992352877	1.61412495123544	0.104807414329064
Nut1h.vs.Nut0h	enhancer	ENSG00000136854	STXBP1	9:130475564-130475786	9:130475045-130475863	9:130370579-130378579	9:130462452-130476588	maintained		101531	1.584642	1.34010441666667	0.991248657142857	-0.309402765311991
Nut1h.vs.Nut0h	enhancer	ENSG00000162227	TAF6L	11:62367475-62367697	11:62363938-62368324	11:62364829-62376341	11:62538519-62544949	gained		170789	0.5341194	1.5946078	0.283184212545455	-1.36771427813302
Nut1h.vs.Nut0h	enhancer	ENSG00000011007	TCEB3	1:24192055-24192277	1:24191355-24192880	1:24065494-24076385	1:24190943-24206180	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	122921	0.450245853992507	1.28982813116752	0.356033489822077	0.187200437361913
Nut1h.vs.Nut0h	enhancer	ENSG00000129566	TEP1	14:20869313-20869535	14:20868117-20870450	14:20880222-20889907	14:20867019-20879433	gained		12564	1.486733	1.20538356666667	1.40344344545455	0.352136978927107
Nut1h.vs.Nut0h	enhancer	ENSG00000182459	TEX19	17:80342509-80342731	17:80342014-80343969	17:80307309-80319807	17:80324601-80357313	maintained	chr17q25,AP1FJ_Q2	25897	1.4245285	1.28473568571429	1.45327909090909	-0.129742329959466
Nut1h.vs.Nut0h	enhancer	ENSG00000163513	TGFBR2	3:30269355-30269577	3:30269241-30270345	3:30646159-30650167	3:30266861-30270623	maintained	AP1FJ_Q2	378128	0.263612789592486	1.48666400944195	0.94112387293382	0.239219730683139
Nut1h.vs.Nut0h	enhancer	ENSG00000152291	TGOLN2	2:85522370-85522592	2:85521573-85522531	2:85520234-85532793	2:85553989-85556149	gained	MIR338_3P,NPM1_TARGET_GENES	33467	1.41005326841496	1.18627803403234	1.147093312599	0.595426195728632
Nut1h.vs.Nut0h	enhancer	ENSG00000137221	TJAP1	6:43464315-43464537	6:43461861-43465476	6:43439170-43453412	6:43454935-43470593	gained		19565	1.1404555182087	1.14314855017411	0.624113445665994	-0.727188387017033
Nut1h.vs.Nut0h	enhancer	ENSG00000232112	TMA7	3:48443765-48443987	3:48443003-48444397	3:48481061-48487331	3:48440924-48445072	gained		37391	1.7659573330199	0.808280550700825	1.77940620138829	-1.03251555305232
Nut1h.vs.Nut0h	enhancer	ENSG00000158604	TMED4	7:44794486-44794708	7:44793486-44796148	7:44614865-44624335	7:44785428-44808359	maintained		172311	0.496766932345489	1.17346833620783	0.232105258887269	-0.115358064773406
Nut1h.vs.Nut0h	enhancer	ENSG00000164953	TMEM67	8:94747372-94747594	8:94745753-94749643	8:94745078-94748728	8:94765331-94770205	gained	chr8q22	19189	0.35093355	3.1529475	0.446129367391304	0.975868227596217
Nut1h.vs.Nut0h	enhancer	ENSG00000131747	TOP2A	17:38694271-38694493	17:38692371-38695129	17:38567144-38574423	17:38688681-38695675	maintained		119780	0.9924572	1.01113398333333	1.05280428823529	0.569684960285237
Nut1h.vs.Nut0h	enhancer	ENSG00000164938	TP53INP1	8:96237873-96238095	8:96237449-96238896	8:95960139-95964150	8:96236111-96239918	gained	chr8q22,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	275945	0.5007979	1.47785303333333	0.925891190909091	1.34273586421822
Nut1h.vs.Nut0h	enhancer	ENSG00000182173	TSEN54	17:73536569-73536791	17:73535716-73538952	17:73513685-73523432	17:73530070-73537357	maintained	chr17q25	24939	0.95437575	1.16961436666667	0.525514541304348	-1.2243605533751
Nut1h.vs.Nut0h	enhancer	ENSG00000185262	UBALD2	17:74128359-74128581	17:74127735-74129740	17:74260472-74262781	17:74115491-74128484	maintained	chr17q25	132413	0.7918743	0.700262433333333	0.954424109090909	-2.0738028598557
Nut1h.vs.Nut0h	enhancer	ENSG00000160714	UBE2Q1	1:154905655-154905877	1:154903946-154905901	1:154521938-154528817	1:154893404-154930322	maintained	MIR338_3P	373862	0.404058736994935	1.15415813737097	0.652720972909403	-0.50430011983697
Nut1h.vs.Nut0h	enhancer	ENSG00000160714	UBE2Q1	1:154976250-154976472	1:154976322-154991895	1:154521938-154528817	1:154968506-154982940	gained	MIR338_3P	444457	0.804664410545454	1.15415813737097	0.39775398141087	-0.50430011983697
Nut1h.vs.Nut0h	enhancer	ENSG00000168246	UBTD2	5:171535816-171536038	5:171535409-171536614	5:171707791-171712026	5:171531959-171541084	maintained		175548	1.2877964703376	0.767884003615924	1.25755181311434	0.302314900341582
Nut1h.vs.Nut0h	enhancer	ENSG00000225822	UBXN7-AS1	3:196004836-196005058	3:196004387-196008253	3:196152822-196159562	3:196003523-196008218	gained		152888	0.885048589512832	0.868820514204177	1.07994413507827	
Nut1h.vs.Nut0h	enhancer	ENSG00000143258	USP21	1:161044490-161044712	1:161043383-161045032	1:161037045-161052923	1:161119503-161135966	gained		84239	1.10978529326372	1.72548768991765	0.940133338201519	-0.655726933031837
Nut1h.vs.Nut0h	enhancer	ENSG00000090686	USP48	1:22282357-22282579	1:22282073-22284089	1:22108302-22111128	1:22282512-22288910	maintained		171969	1.25917070887647	0.119467481206239	1.14184583309123	0.582993779099551
Nut1h.vs.Nut0h	enhancer	ENSG00000148429	USP6NL	10:11727789-11728011	10:11725576-11728925	10:11645734-11654324	10:11721917-11727837	maintained		73747	0.8175114	0.59287635	0.878257283333333	0.0608791627667762
Nut1h.vs.Nut0h	enhancer	ENSG00000137411	VARS2	6:30857970-30858192	6:30849557-30859052	6:30864617-30884904	6:30854701-30863498	gained		17538	0.72957584518668	1.46190344282619	0.749631038727095	-0.686899658454048
Nut1h.vs.Nut0h	enhancer	ENSG00000136451	VEZF1	17:55978856-55979078	17:55978253-55982933	17:56062994-56067461	17:55976235-55985140	maintained		87053	0.2269825	0.6326537	0.389299166833333	0.00925370679668852
Nut1h.vs.Nut0h	enhancer	ENSG00000070540	WIPI1	17:66260038-66260260	17:66259472-66262032	17:66419009-66424890	17:66257972-66260963	maintained		193905	0.181094615	0.827819884	0.17185207125	-0.434291044734645
Nut1h.vs.Nut0h	enhancer	ENSG00000070540	WIPI1	17:66260038-66260260	17:66259472-66262032	17:66446836-66458638	17:66257972-66260963	maintained		193905	0.181094615	0.827819884	0.17185207125	-0.434291044734645
Nut1h.vs.Nut0h	enhancer	ENSG00000047188	YTHDC2	5:112503757-112503979	5:112501924-112504078	5:112848082-112851372	5:112502658-112505854	gained		345112	1.39333429027474	0.24966938720046	1.65737703947947	0.99154350790217
Nut1h.vs.Nut0h	enhancer	ENSG00000128245	YWHAH	22:32019683-32019905	22:32018925-32021543	22:32338419-32342896	22:32012965-32043912	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	320253	0.2321988	0.533482	0.189742422076923	-0.198772348958494
Nut1h.vs.Nut0h	enhancer	ENSG00000211996	Z97352.1	6:129820877-129821099	6:129818252-129824876	6:130066464-130078570	6:129820752-129825179	maintained		247494	1.03981318804918	0.811038678350437	1.15385901104375	
Nut1h.vs.Nut0h	enhancer	ENSG00000166860	ZBTB39	12:57425275-57425497	12:57424911-57425905	12:57399089-57400611	12:57419095-57427040	maintained	MIR338_3P	24756	0.35880089	1.38634741666667	0.818169926666667	0.544040184118152
Nut1h.vs.Nut0h	enhancer	ENSG00000171307	ZDHHC16	10:99309818-99310040	10:99309178-99310451	10:99205020-99206842	10:99307835-99311304	gained		104402	1.585794	1.61092321	1.27881601111111	-0.485678635191025
Nut1h.vs.Nut0h	enhancer	ENSG00000197362	ZNF786	7:148721070-148721292	7:148720165-148725003	7:148711364-148726471	7:148781665-148820576	gained		67093	-0.0043475	1.01778751666667	0.216225503478261	-0.288733043147026
Nut1h.vs.Nut0h	enhancer	ENSG00000166529	ZSCAN21	7:99159069-99159291	7:99158846-99162417	7:99646534-99657158	7:99157581-99159286	gained		487810	0.98381898751004	0.700009156992261	0.985574928571645	0.0784384508231602
Nut1h.vs.Nut0h	promoter	ENSG00000265073	AC010761.6	17:27070044-27070266	17:27069920-27071120					0	0.1673781	0.1673781		
Nut1h.vs.Nut0h	promoter	ENSG00000107897	ACBD5	10:27532047-27532269	10:27530859-27532059				LEE_RECENT_THYMIC_EMIGRANT	0	0.7612211	0.7612211		0.795199921684889
Nut1h.vs.Nut0h	promoter	ENSG00000134575	ACP2	11:47270338-47270560	11:47270257-47271457				WU_HBX_TARGETS_1_UP,WU_HBX_TARGETS_2_DN	0	0.3994602	0.546614		-0.874812834281776
Nut1h.vs.Nut0h	promoter	ENSG00000107796	ACTA2	10:90750960-90751182	10:90750947-90752147				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,MACAEVA_PBMC_RESPONSE_TO_IR,SMIRNOV_RESPONSE_TO_IR_6HR_UP,KERLEY_RESPONSE_TO_CISPLATIN_UP,KANNAN_TP53_TARGETS_UP,CROONQUIST_STROMAL_STIMULATION_UP,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0	1.268853	1.67823833333333		-0.501884376605394
Nut1h.vs.Nut0h	promoter	ENSG00000169252	ADRB2	5:148205668-148205890	5:148205156-148206356				MILI_PSEUDOPODIA_CHEMOTAXIS_DN,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE17721_CTRL_VS_LPS_6H_BMDC_UP	0	0.469408329543742	0.581707956219068		0.155942648477965
Nut1h.vs.Nut0h	promoter	ENSG00000129474	AJUBA	14:23451880-23452102	14:23451651-23452851				INGRAM_SHH_TARGETS_DN,GROSS_HYPOXIA_VIA_ELK3_UP,TAZ_TARGET_GENES	0	1.476479	1.68044118333333		-0.367278114443036
Nut1h.vs.Nut0h	promoter	ENSG00000186352	ANKRD37	4:186316854-186317076	4:186316175-186317375				MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,LEE_RECENT_THYMIC_EMIGRANT	0	-0.0569721464421043	0.882071988804846		-2.14329803990372
Nut1h.vs.Nut0h	promoter	ENSG00000100298	APOBEC3H	22:39493188-39493410	22:39492229-39493429				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,MACAEVA_PBMC_RESPONSE_TO_IR	0	0.1446134	0.577521533333333		-0.0325127936257127
Nut1h.vs.Nut0h	promoter	ENSG00000167601	AXL	19:41724513-41724735	19:41724108-41725308				MILI_PSEUDOPODIA_CHEMOTAXIS_DN,GROSS_HYPOXIA_VIA_ELK3_UP,ZHANG_PROLIFERATING_VS_QUIESCENT,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,TAZ_TARGET_GENES,GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP,FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0	0.8918949	1.30704196666667		-0.633924535576869
Nut1h.vs.Nut0h	promoter	ENSG00000105327	BBC3	19:47735727-47735949	19:47735823-47737023				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,MACAEVA_PBMC_RESPONSE_TO_IR,SMIRNOV_RESPONSE_TO_IR_6HR_UP,WARTERS_RESPONSE_TO_IR_SKIN,KEGG_P53_SIGNALING_PATHWAY,WARTERS_IR_RESPONSE_5GY,PID_TAP63_PATHWAY,WP_MIRNA_REGULATION_OF_P53_PATHWAY_IN_PROSTATE_CANCER,PID_P53_DOWNSTREAM_PATHWAY,QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR,INGA_TP53_TARGETS,SMIRNOV_RESPONSE_TO_IR_2HR_UP,KANNAN_TP53_TARGETS_UP,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,GALLUZZI_PERMEABILIZE_MITOCHONDRIA,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,TAZ_TARGET_GENES	0	0.5110106	0.7399089		-1.02119377591445
Nut1h.vs.Nut0h	promoter	ENSG00000165626	BEND7	10:13571700-13571922	10:13570774-13571974					0	1.369907	1.53287079285714		0.037519381949015
Nut1h.vs.Nut0h	promoter	ENSG00000176912	C18orf56	18:658160-658382	18:658140-659340				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WARTERS_RESPONSE_TO_IR_SKIN,WARTERS_IR_RESPONSE_5GY,TONG_INTERACT_WITH_PTTG1	0	1.370075	1.2133485		-1.49723401534132
Nut1h.vs.Nut0h	promoter	ENSG00000170835	CEL	9:135936614-135936836	9:135936365-135937565				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS	0	0.7615908	0.981604		-0.296568268631647
Nut1h.vs.Nut0h	promoter	ENSG00000253653	CTC-248O19.1	5:156693238-156693460	5:156693435-156694635					0	1.14578996661667	0.943831356586294		
Nut1h.vs.Nut0h	promoter	ENSG00000177030	DEAF1	11:706914-707136	11:706515-707715				TAZ_TARGET_GENES	0	0.4656155	0.4656155		-1.15181587084807
Nut1h.vs.Nut0h	promoter	ENSG00000136048	DRAM1	12:102271220-102271442	12:102270129-102271329				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,SMIRNOV_RESPONSE_TO_IR_6HR_UP,KERLEY_RESPONSE_TO_CISPLATIN_UP,WARTERS_RESPONSE_TO_IR_SKIN,INGRAM_SHH_TARGETS_DN,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN	0	0.359347	1.19782885		0.140093362590326
Nut1h.vs.Nut0h	promoter	ENSG00000169016	E2F6	2:11606287-11606509	2:11606097-11607297					0	0.290833464856174	0.341921170251794		0.964471058182847
Nut1h.vs.Nut0h	promoter	ENSG00000149547	EI24	11:125439285-125439507	11:125438112-125439312				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,MACAEVA_PBMC_RESPONSE_TO_IR,SMIRNOV_RESPONSE_TO_IR_6HR_UP,KEGG_P53_SIGNALING_PATHWAY,WP_MIRNA_REGULATION_OF_P53_PATHWAY_IN_PROSTATE_CANCER,QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR,BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP,MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,GROSS_HYPOXIA_VIA_ELK3_UP	0	0.5649822	1.75265553333333		0.124202840186424
Nut1h.vs.Nut0h	promoter	ENSG00000100353	EIF3D	22:36926266-36926488	22:36925283-36926483					0	0.22998	0.22998		-0.197985052843232
